detector,descriptor,#Img,#KptsPerFrame,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs,TTCLidar(s),TTCCamera(s)
HARRIS,FREAK,15,1957,906,8.9508,12.2935,8.2769,6.95026e-310,9.88131e-324
HARRIS,FREAK,16,1888,878,8.9929,11.8217,8.4609,3.30536e-317,2.37664e-312
HARRIS,FREAK,17,1919,914,9.0376,12.3197,8.247,6.95026e-310,0

HARRIS,SIFT,0,1723,0,9.0147,10.9764,0,0,0
HARRIS,SIFT,1,1759,797,8.5681,11.2141,7.0197,0,0
HARRIS,SIFT,2,1820,779,8.8904,11.7818,7.4664,0,0
HARRIS,SIFT,3,1850,843,8.9037,11.9049,7.7173,0,0
HARRIS,SIFT,4,1828,792,8.628,11.875,7.5328,0,0
HARRIS,SIFT,5,1806,817,8.5065,11.3738,7.7568,0,0
HARRIS,SIFT,6,1877,805,8.9197,12.2064,7.6453,13.7511,21.358
HARRIS,SIFT,7,1894,780,8.3069,12.2103,7.7242,0,0
HARRIS,SIFT,8,1889,850,8.4947,12.2012,7.8114,0,0
HARRIS,SIFT,9,1917,842,8.3652,12.3705,7.9668,0,0
HARRIS,SIFT,10,1874,832,9.0241,11.9041,7.8678,4.94066e-324,-nan
HARRIS,SIFT,11,1912,857,8.7753,12.1922,7.7595,6.95026e-310,6.9533e-310
HARRIS,SIFT,12,1930,849,9.2716,12.3398,9.3413,3.39519e-313,6.32404e-322
HARRIS,SIFT,13,1880,884,8.819,12.1498,8.1222,4.04739e-320,3.73471e-312
HARRIS,SIFT,14,1886,889,9.3874,12.9037,9.9022,3.30541e-317,7.90505e-323
HARRIS,SIFT,15,1957,906,8.2569,12.1529,8.5657,6.95026e-310,9.88131e-324
HARRIS,SIFT,16,1888,878,9.0188,12.0118,9.1556,3.30536e-317,2.37664e-312
HARRIS,SIFT,17,1919,914,8.3797,12.0789,8.2985,6.95026e-310,0

FAST,BRISK,0,1723,0,8.5713,11.0212,0,0,0
FAST,BRISK,1,1759,797,8.8158,11.3039,7.7314,0,0
FAST,BRISK,2,1820,779,8.6504,11.3968,7.3388,0,0
FAST,BRISK,3,1850,843,8.5809,11.5871,8.1199,0,0
FAST,BRISK,4,1828,792,8.3845,11.5457,8.2655,0,0
FAST,BRISK,5,1806,817,8.3427,11.3649,8.1875,0,0
FAST,BRISK,6,1877,805,9.7189,12.1378,8.0256,13.7511,21.358
FAST,BRISK,7,1894,780,8.3978,11.9725,8.0096,0,0
FAST,BRISK,8,1889,850,8.5399,11.9882,8.4513,0,0
FAST,BRISK,9,1917,842,13.4235,12.1119,8.4388,0,0
FAST,BRISK,10,1874,832,13.0847,11.6907,8.27,4.94066e-324,-nan
FAST,BRISK,11,1912,857,13.2942,14.6825,9.7634,6.95026e-310,6.9533e-310
FAST,BRISK,12,1930,849,13.1929,11.8672,8.7057,3.39519e-313,6.32404e-322
FAST,BRISK,13,1880,884,8.6339,11.6472,8.1342,4.04739e-320,3.73471e-312
FAST,BRISK,14,1886,889,8.4563,11.7453,7.9835,3.30541e-317,7.90505e-323
FAST,BRISK,15,1957,906,8.7836,12.2148,8.5474,6.95026e-310,9.88131e-324
FAST,BRISK,16,1888,878,9.0401,11.7886,8.1931,3.30536e-317,2.37664e-312
FAST,BRISK,17,1919,914,13.3381,12.0456,8.5585,6.95026e-310,0

FAST,BRIEF,0,1723,0,12.7319,11.0024,0,0,0
FAST,BRIEF,1,1759,797,12.9798,11.0231,7.4412,0,0
FAST,BRIEF,2,1820,779,12.6141,11.4834,7.7395,0,0
FAST,BRIEF,3,1850,843,13.0183,11.9617,8.043,0,0
FAST,BRIEF,4,1828,792,13.1777,11.5918,8.2828,0,0
FAST,BRIEF,5,1806,817,13.5121,12.0566,7.8785,0,0
FAST,BRIEF,6,1877,805,10.1366,11.6859,7.445,13.7511,21.358
FAST,BRIEF,7,1894,780,8.8851,11.9081,8.013,0,0
FAST,BRIEF,8,1889,850,13.6958,11.7142,8.3833,0,0
FAST,BRIEF,9,1917,842,13.3618,11.8099,8.3282,0,0
FAST,BRIEF,10,1874,832,15.4264,11.6848,8.2523,4.94066e-324,-nan
FAST,BRIEF,11,1912,857,13.103,11.9817,8.3391,6.95026e-310,6.9533e-310
FAST,BRIEF,12,1930,849,13.2399,12.8043,8.7168,3.39519e-313,6.32404e-322
FAST,BRIEF,13,1880,884,13.3134,11.7836,8.4599,4.04739e-320,3.73471e-312
FAST,BRIEF,14,1886,889,13.4066,12.2467,8.5186,3.30541e-317,7.90505e-323
FAST,BRIEF,15,1957,906,8.4434,13.7557,8.3183,6.95026e-310,9.88131e-324
FAST,BRIEF,16,1888,878,8.4576,11.9848,8.322,3.30536e-317,2.37664e-312
FAST,BRIEF,17,1919,914,12.9761,12.4132,8.6099,6.95026e-310,0

FAST,ORB,0,1723,0,13.1294,10.8731,0,0,0
FAST,ORB,1,1759,797,13.5599,10.9601,7.4227,0,0
FAST,ORB,2,1820,779,12.9989,11.4306,7.9239,0,0
FAST,ORB,3,1850,843,13.1443,12.2221,8.2787,0,0
FAST,ORB,4,1828,792,13.0267,11.614,8.1557,0,0
FAST,ORB,5,1806,817,13.0005,11.3306,7.816,0,0
FAST,ORB,6,1877,805,13.3299,12.2151,8.4593,13.7511,21.358
FAST,ORB,7,1894,780,12.9629,12.1172,8.2622,0,0
FAST,ORB,8,1889,850,17.2978,11.612,8.3607,0,0
FAST,ORB,9,1917,842,13.2661,11.7837,8.3979,0,0
FAST,ORB,10,1874,832,12.9558,12.3679,8.3126,4.94066e-324,-nan
FAST,ORB,11,1912,857,13.2413,12.0448,8.2668,6.95026e-310,6.9533e-310
FAST,ORB,12,1930,849,13.1437,11.8776,8.5345,3.39519e-313,6.32404e-322
FAST,ORB,13,1880,884,13.0913,11.8315,8.4126,4.04739e-320,3.73471e-312
FAST,ORB,14,1886,889,13.3155,11.7716,8.2681,3.30541e-317,7.90505e-323
FAST,ORB,15,1957,906,13.0627,12.7146,8.8633,6.95026e-310,9.88131e-324
FAST,ORB,16,1888,878,15.1004,12.9588,8.98,3.30536e-317,2.37664e-312
FAST,ORB,17,1919,914,13.0772,12.1033,8.7416,6.95026e-310,0

FAST,FREAK,0,1723,0,14.0316,11.552,0,0,0
FAST,FREAK,1,1759,797,13.2797,11.166,7.4194,0,0
FAST,FREAK,2,1820,779,12.8541,11.7177,7.835,0,0
FAST,FREAK,3,1850,843,13.1481,11.9116,8.0186,0,0
FAST,FREAK,4,1828,792,13.1872,11.5682,9.3316,0,0
FAST,FREAK,5,1806,817,13.4384,11.5264,7.9863,0,0
FAST,FREAK,6,1877,805,8.4387,11.7661,7.4649,13.7511,21.358
FAST,FREAK,7,1894,780,8.7275,12.1736,7.8464,0,0
FAST,FREAK,8,1889,850,8.9147,12.0039,7.9077,0,0
FAST,FREAK,9,1917,842,8.987,12.3472,7.9507,0,0
FAST,FREAK,10,1874,832,14.1888,12.7776,10.1783,4.94066e-324,-nan
FAST,FREAK,11,1912,857,13.1801,11.9123,8.4405,6.95026e-310,6.9533e-310
FAST,FREAK,12,1930,849,13.4618,11.8768,8.5759,3.39519e-313,6.32404e-322
FAST,FREAK,13,1880,884,13.1215,11.8422,8.4548,4.04739e-320,3.73471e-312
FAST,FREAK,14,1886,889,9.0233,11.7564,8.0466,3.30541e-317,7.90505e-323
FAST,FREAK,15,1957,906,8.533,12.1112,8.3373,6.95026e-310,9.88131e-324
FAST,FREAK,16,1888,878,13.1601,12.47,9.9928,3.30536e-317,2.37664e-312
FAST,FREAK,17,1919,914,12.8689,12.386,8.9636,6.95026e-310,0

FAST,SIFT,0,1723,0,13.1993,11.0344,0,0,0
FAST,SIFT,1,1759,797,13.3375,11.2986,7.5214,0,0
FAST,SIFT,2,1820,779,13.084,11.5942,7.9361,0,0
FAST,SIFT,3,1850,843,8.8363,11.9897,7.7533,0,0
FAST,SIFT,4,1828,792,8.8287,11.909,8.0105,0,0
FAST,SIFT,5,1806,817,13.4041,11.4408,7.9997,0,0
FAST,SIFT,6,1877,805,13.5477,11.4706,7.4911,13.7511,21.358
FAST,SIFT,7,1894,780,12.8189,12.893,8.2071,0,0
FAST,SIFT,8,1889,850,12.9709,12.8874,9.4173,0,0
FAST,SIFT,9,1917,842,12.9517,11.9894,8.8187,0,0
FAST,SIFT,10,1874,832,13.459,11.7252,8.3323,4.94066e-324,-nan
FAST,SIFT,11,1912,857,10.4816,12.005,7.8445,6.95026e-310,6.9533e-310
FAST,SIFT,12,1930,849,11.2728,12.2508,9.2746,3.39519e-313,6.32404e-322
FAST,SIFT,13,1880,884,13.5772,11.9131,8.5549,4.04739e-320,3.73471e-312
FAST,SIFT,14,1886,889,13.0855,11.9306,8.4429,3.30541e-317,7.90505e-323
FAST,SIFT,15,1957,906,9.0196,12.5775,9.1446,6.95026e-310,9.88131e-324
FAST,SIFT,16,1888,878,8.7825,11.9215,9.5631,3.30536e-317,2.37664e-312
FAST,SIFT,17,1919,914,12.8905,12.1799,8.5723,6.95026e-310,0

BRISK,BRISK,0,1723,0,13.3063,11.1676,0,0,0
BRISK,BRISK,1,1759,797,13.0595,11.0815,7.4382,0,0
BRISK,BRISK,2,1820,779,15.3153,12.4019,7.4978,0,0
BRISK,BRISK,3,1850,843,9.7912,11.8987,7.9425,0,0
BRISK,BRISK,4,1828,792,8.3855,11.4818,7.7691,0,0
BRISK,BRISK,5,1806,817,13.1108,11.7819,8.0293,0,0
BRISK,BRISK,6,1877,805,8.4496,12.3064,7.4233,13.7511,21.358
BRISK,BRISK,7,1894,780,9.5066,12.9271,7.8453,0,0
BRISK,BRISK,8,1889,850,13.1543,12.0166,8.2015,0,0
BRISK,BRISK,9,1917,842,13.1198,11.7372,8.3251,0,0
BRISK,BRISK,10,1874,832,12.9461,12.0391,8.835,4.94066e-324,-nan
BRISK,BRISK,11,1912,857,12.9452,12.0669,8.3118,6.95026e-310,6.9533e-310
BRISK,BRISK,12,1930,849,8.4532,12.5035,8.1565,3.39519e-313,6.32404e-322
BRISK,BRISK,13,1880,884,8.7538,12.0052,8.3199,4.04739e-320,3.73471e-312
BRISK,BRISK,14,1886,889,8.8604,12.3634,8.3337,3.30541e-317,7.90505e-323
BRISK,BRISK,15,1957,906,8.8246,15.8526,9.3469,6.95026e-310,9.88131e-324
BRISK,BRISK,16,1888,878,12.7402,12.9062,9.5077,3.30536e-317,2.37664e-312
BRISK,BRISK,17,1919,914,13.7627,11.9751,8.5479,6.95026e-310,0

BRISK,BRIEF,0,1723,0,13.0864,11.2091,0,0,0
BRISK,BRIEF,1,1759,797,13.1101,11.503,7.6999,0,0
BRISK,BRIEF,2,1820,779,13.1964,11.6852,7.8281,0,0
BRISK,BRIEF,3,1850,843,8.6666,11.9455,7.7146,0,0
BRISK,BRIEF,4,1828,792,8.802,11.8272,7.6766,0,0
BRISK,BRIEF,5,1806,817,13.0262,11.5881,8.0925,0,0
BRISK,BRIEF,6,1877,805,14.0029,12.2241,8.1487,13.7511,21.358
BRISK,BRIEF,7,1894,780,13.3659,12.1879,8.4004,0,0
BRISK,BRIEF,8,1889,850,13.5223,11.9789,8.2959,0,0
BRISK,BRIEF,9,1917,842,12.9857,12.8437,10.2791,0,0
BRISK,BRIEF,10,1874,832,12.8476,11.7932,8.5941,4.94066e-324,-nan
BRISK,BRIEF,11,1912,857,12.8888,11.9085,8.2429,6.95026e-310,6.9533e-310
BRISK,BRIEF,12,1930,849,13.5672,12.4612,8.2575,3.39519e-313,6.32404e-322
BRISK,BRIEF,13,1880,884,13.2617,11.6776,8.4725,4.04739e-320,3.73471e-312
BRISK,BRIEF,14,1886,889,13.1387,12.2488,8.504,3.30541e-317,7.90505e-323
BRISK,BRIEF,15,1957,906,8.6694,12.6704,8.2929,6.95026e-310,9.88131e-324
BRISK,BRIEF,16,1888,878,8.8384,12.9566,8.4636,3.30536e-317,2.37664e-312
BRISK,BRIEF,17,1919,914,12.7876,12.5397,8.5609,6.95026e-310,0

BRISK,ORB,0,1723,0,13.1852,10.8272,0,0,0
BRISK,ORB,1,1759,797,13.1843,11.1503,7.5171,0,0
BRISK,ORB,2,1820,779,13.245,11.6021,7.8476,0,0
BRISK,ORB,3,1850,843,13.5248,11.8014,8.2886,0,0
BRISK,ORB,4,1828,792,13.0485,11.4113,8.002,0,0
BRISK,ORB,5,1806,817,12.7146,11.2992,7.8696,0,0
BRISK,ORB,6,1877,805,13.1896,12.1829,8.064,13.7511,21.358
BRISK,ORB,7,1894,780,13.2519,12.194,8.4584,0,0
BRISK,ORB,8,1889,850,13.2821,11.7807,8.295,0,0
BRISK,ORB,9,1917,842,8.6466,15.2282,9.854,0,0
BRISK,ORB,10,1874,832,8.9178,11.7116,7.9264,4.94066e-324,-nan
BRISK,ORB,11,1912,857,13.3325,12.1743,8.3383,6.95026e-310,6.9533e-310
BRISK,ORB,12,1930,849,13.1881,12.2261,8.6452,3.39519e-313,6.32404e-322
BRISK,ORB,13,1880,884,13.2689,11.8641,8.6849,4.04739e-320,3.73471e-312
BRISK,ORB,14,1886,889,13.0018,11.9674,8.4829,3.30541e-317,7.90505e-323
BRISK,ORB,15,1957,906,13.3718,12.4211,8.979,6.95026e-310,9.88131e-324
BRISK,ORB,16,1888,878,13.0086,12.1232,8.8524,3.30536e-317,2.37664e-312
BRISK,ORB,17,1919,914,8.4089,12.3324,8.5405,6.95026e-310,0

BRISK,FREAK,0,1723,0,15.6151,11.5237,0,0,0
BRISK,FREAK,1,1759,797,13.1195,11.3774,8.3484,0,0
BRISK,FREAK,2,1820,779,13.5494,13.8349,7.9007,0,0
BRISK,FREAK,3,1850,843,13.0411,11.9696,8.2384,0,0
BRISK,FREAK,4,1828,792,12.7956,11.8238,8.3125,0,0
BRISK,FREAK,5,1806,817,13.3191,11.6133,8.0328,0,0
